feature_set,alpha,RMSE,MAE,MAPE_%,R2
full_engineered,0.0,129.93099810723731,91.48559842423434,4.656008433961247,0.9437773597325889
full_engineered,0.1,129.93118928098366,91.4852745844771,4.655990167646704,0.9437771942863008
full_engineered,1.0,129.9329142023757,91.48236570379031,4.65582605534845,0.9437757014874653
full_engineered,10.0,129.95058054371722,91.4542018604563,4.654231774047576,0.9437604113636217
full_engineered,100.0,130.15797776932507,91.24247300607827,4.6420128201985165,0.9435807547241752
full_engineered,1000.0,132.53393665867753,91.27423366276595,4.639524645754263,0.9415021528488249
weather_short_memory,0.0,133.9300870009348,94.30680297009934,4.795194615489307,0.9402631952147433
weather_short_memory,0.1,133.93048855282203,94.30661962510696,4.795185171450936,0.9402628370060213
weather_short_memory,1.0,133.93410403988014,94.30497404931243,4.795100409052496,0.9402596117231565
weather_short_memory,10.0,133.97040583406377,94.2889530369661,4.794277189878892,0.9402272230018885
weather_short_memory,100.0,134.34496693283245,94.1652867500323,4.787983950938831,0.9398925243882981
weather_short_memory,1000.0,137.97233812798146,94.51062639166317,4.810068357790322,0.9366028498926613
weather_behavior_thermal_lags,0.0,212.67112432101962,161.9575160322946,7.978722038013948,0.8493730294815922
weather_behavior_thermal_lags,0.1,212.67124483121592,161.9576250804507,7.978725725398031,0.8493728587758513
weather_behavior_thermal_lags,1.0,212.67232952828732,161.9586074746873,7.978758975262871,0.8493713222706623
weather_behavior_thermal_lags,10.0,212.68318690056202,161.96844408125594,7.979092209335616,0.8493559420528493
weather_behavior_thermal_lags,100.0,212.79277783894418,162.0677437171333,7.982469056529917,0.849200654958166
weather_behavior_lags,0.0,213.82705197864607,162.39362088073028,8.035189368744836,0.847731179316583
weather_behavior_lags,0.1,213.82719242006917,162.39375959437965,8.035194103813032,0.8477309792964575
weather_behavior_lags,1.0,213.82845644063386,162.39500813249978,8.035236724619336,0.8477291790413988
weather_behavior_lags,10.0,213.84110136883376,162.4075038181898,8.03566338922057,0.847711169179085
weather_behavior_lags,100.0,213.9680175384737,162.53266012565254,8.039938910177003,0.8475303465908315
weather_behavior_thermal_lags,1000.0,213.97262542779865,163.14195138257736,8.020071001879801,0.8475237795266376
weather_behavior_lags,1000.0,215.27897129075578,163.80438803747717,8.084003622467966,0.8456563002940714
weather_calendar_lags,0.0,223.62284218984294,170.15647334186076,8.41635470622602,0.8334602097906239
weather_calendar_lags,0.1,223.62294222914727,170.15657730729998,8.416358225417559,0.8334600607850186
weather_calendar_lags,1.0,223.62384261591862,170.15751297878901,8.416389897411415,0.83345871968237
weather_calendar_lags,10.0,223.63284975202728,170.1668729972852,8.416706789573777,0.8334453034905029
weather_calendar_lags,100.0,223.72324620303021,170.26051038557958,8.419876049234356,0.8333106274227995
weather_calendar_lags,1000.0,224.6580693376751,171.20598492552134,8.45202887465618,0.8319147006209381
weather_only,0.0,687.4087008036225,564.6557913016883,25.965668497089368,-0.5736775059861157
weather_only,0.1,687.4087206781189,564.6557961257748,25.965667385207862,-0.5736775969830679
weather_only,1.0,687.4088995681443,564.6558395620361,25.965657379312272,-0.5736784160453039
weather_only,10.0,687.4106904034114,564.6562758521133,25.965557423047507,-0.5736866155390241
weather_only,100.0,687.4287910781292,564.6608580521923,25.964569576773005,-0.5737694922383809
weather_only,1000.0,687.6279132372596,564.7264522231674,25.95576156673844,-0.5746813474571539
